ID,down,initial,up,YY,YN,NY,NN,NNY,NNN,No,Yes,income,male,age,c_water,I_P_water,I_P_sw_water,Clean_water,Se_service,I_sw_water,Smell,F_sw_water,I_sw_water,N_sw_water,E_health,E_water,E_ecosystem,E_smell,P_sw_water,P_water
2045,7500,15000,30000,0,0,1,0,0,0,1,0,530,1,48,3,3,3,4,4,1.166666667,1,4,3,3,3,5,5,4,4,0
2046,25000,50000,100000,0,1,0,0,0,0,0,1,220,1,29,2,5,5,2,2,1.833333333,2,5,1,4,1,4,1,5,3,1
2047,13500,27000,54000,0,0,0,1,1,0,1,0,600,0,41,5,5,5,5,5,1,4,4,4,4,4,5,4,4,4,1
2048,4500,9000,18000,0,0,0,1,0,1,1,0,350,1,57,4,5,3,3,3,1.5,3,4,3,5,4,3,4,5,4,1
2049,25000,50000,100000,1,0,0,0,0,0,0,1,820,1,39,3,4,4,4,4,1.833333333,3,4,3,4,4,4,4,4,3,0
2050,25000,50000,100000,1,0,0,0,0,0,0,1,650,1,61,5,5,5,4,4,1,4,4,5,5,5,4,5,5,4,1
2051,45000,90000,180000,1,0,0,0,0,0,0,1,280,1,39,4,5,5,5,5,1.5,4,3,3,5,4,5,4,5,2,0
2052,4500,9000,18000,0,0,0,1,0,1,1,0,290,0,44,3,4,4,4,4,1.666666667,3,3,3,3,3,3,3,3,3,0
2054,13500,27000,54000,0,0,0,1,0,1,1,0,550,1,54,5,5,5,5,5,1.166666667,3,3,5,5,5,5,5,5,5,0
2055,13500,27000,54000,0,0,0,1,0,1,1,0,450,0,32,4,5,4,5,5,1.333333333,4,2,4,5,5,4,4,4,3,0
2057,13500,27000,54000,0,0,0,1,0,1,1,0,280,1,40,4,4,4,5,5,1.333333333,4,3,2,4,4,4,4,5,2,0
2058,4500,9000,18000,0,0,0,1,0,1,1,0,190,1,49,3,4,4,5,5,1,3,3,2,4,2,4,4,4,3,0
2059,4500,9000,18000,1,0,0,0,0,0,0,1,180,0,41,4,3,3,5,5,1.5,3,4,3,5,4,5,5,4,3,0
2060,25000,50000,100000,0,0,0,1,0,1,1,0,350,0,27,4,4,3,4,3,1.333333333,4,2,2,4,4,2,3,4,4,0
2061,13500,27000,54000,0,0,0,1,0,1,1,0,310,1,45,5,4,4,5,4,1,4,3,4,4,4,4,4,5,3,1
2062,4500,9000,18000,0,1,0,0,0,0,0,1,190,0,28,5,4,4,4,4,1.166666667,1,4,3,4,4,4,4,5,3,0
2063,7500,15000,30000,0,1,0,0,0,0,0,1,100,0,47,3,3,3,4,3,1.833333333,5,3,3,4,4,4,3,4,3,0
2064,4500,9000,18000,1,0,0,0,0,0,0,1,450,0,47,5,4,4,4,5,1,4,4,4,5,4,4,5,4,3,1
2065,4500,9000,18000,1,0,0,0,0,0,0,1,450,0,41,3,5,4,5,5,1.5,4,3,3,5,4,4,4,4,3,1
2066,45000,90000,180000,1,0,0,0,0,0,0,1,640,1,47,4,4,4,5,4,1.5,3,3,4,4,4,4,4,4,4,0
2067,7500,15000,30000,0,0,0,1,0,1,1,0,450,1,46,4,4,4,4,4,1,2,4,4,4,4,3,4,4,3,1
2068,25000,50000,100000,0,0,0,1,0,1,1,0,280,1,42,3,4,3,4,4,1.333333333,1,4,3,5,3,4,4,4,3,0
2069,13500,27000,54000,1,0,0,0,0,0,0,1,630,1,38,4,3,4,3,4,1.5,4,3,4,3,3,4,4,3,3,0
2070,25000,50000,100000,0,0,0,1,1,0,1,0,480,1,58,3,4,4,4,5,1,3,3,3,4,5,5,5,5,3,0
2071,45000,90000,180000,0,0,0,1,0,1,1,0,550,1,48,3,4,4,4,4,1.666666667,3,3,3,3,4,4,4,4,3,0
